DATE DE MISE A JOUR DES TARIFS : 27/09/2019;
Code article;Marque;Famille;Sous-famille;PVGC T.T.C.;Coeff.;Commentaires;P;Gamme;Prix facture fournisseur;R HF D;R HF C;R P PR;Prix net fournisseur;Prix net grossiste;Code barre;
I99CM67N0;NEFF;CUISSON;Hotte;2129;2.24;CTM;P;;1045.65;9;0;0;951.54;1033.75;4242004187448;
C17KS61H0;NEFF;CUISSON;Machine à café encastrable;2729;2.24;;P;R;1340.2;9;0;0;1219.58;1324.96;4242004234470;
HLAWD53N0;NEFF;CUISSON;Micro ondes intégrable;509;2.23;;P;R;250.36;9;0;0;227.83;247.51;4242004222781;
HLAWD23N0;NEFF;CUISSON;Micro ondes intégrable;509;2.23;;P;R;250.36;9;0;0;227.83;247.51;4242004222767;
C17WR00N0;NEFF;CUISSON;Micro ondes intégrable;799;2.24;;P;R;392.73;9;0;0;357.38;388.26;4242004184546;
C17UR02N0;NEFF;CUISSON;Micro ondes intégrable;1049;2.24;;P;R;515.46;9;0;0;469.07;509.6;4242004207016;
C1AMG83N0;NEFF;CUISSON;Micro-ondes combi intégrable;969;2.24;;P;R;476.19;9;0;0;433.33;470.77;4242004222729;
C17MS32H0;NEFF;CUISSON;Micro-ondes combi intégrable;1409;2.24;;P;R;692.19;9;0;0;629.89;684.31;4242004235118;
C15MR02N0;NEFF;CUISSON;Micro-ondes combi intégrable;1299;2.14;CTM;P;;666.66;9;0;0;606.66;679.46;4242004182085;
HLAGD53N0;NEFF;CUISSON;Micro-ondes gril intégrable;569;2.23;;P;R;279.82;9;0;0;254.64;276.63;4242004222804;
T29DA69N0;NEFF;CUISSON;Plaque gaz;949;2.24;;P;;466.37;9;0;0;424.4;461.07;4242004203575;
T26CS49S0;NEFF;CUISSON;Plaque gaz;489;2.23;;P;R;240.54;9;0;0;218.89;237.81;4242004203322;
T27DS59N0;NEFF;CUISSON;Plaque gaz;609;2.23;;P;;299.46;9;0;0;272.51;296.05;4242004203506;
T26BR46S0;NEFF;CUISSON;Plaque gaz;259;2.23;;P;R;127.63;9;0;0;116.14;126.18;4242004187813;
T27DA69N0;NEFF;CUISSON;Plaque gaz;709;2.24;;P;;348.55;9;0;0;317.18;344.58;4242004183181;
T26BR46N0;NEFF;CUISSON;Plaque gaz;269;2.23;;P;R;132.54;9;0;0;120.61;131.04;4242004187271;
T26DS49W0;NEFF;CUISSON;Plaque gaz;469;2.14;CTM;P;;241.02;9;0;0;219.33;245.65;4242004203421;
N23TA29N0;NEFF;CUISSON;Plaque gaz;599;2.23;;P;R;294.55;9;0;0;268.04;291.2;4242004203292;
T26BR56N0;NEFF;CUISSON;Plaque gaz;359;2.59;CTM;P;;152.18;9;0;0;138.48;150.45;4242004187837;
T26BB56N0;NEFF;CUISSON;Plaque gaz;429;2.6;CTM;P;;181.63;9;0;0;165.28;179.57;4242004212119;
T26BB46W0;NEFF;CUISSON;Plaque gaz;389;2.25;CTM;P;;189.6;9;0;0;172.54;189.57;4242004212102;
T27CS59S0;NEFF;CUISSON;Plaque gaz;819;2.24;$0;P;L;402.55;9;0;0;366.32;397.97;4242004203476;
T26BB46S0;NEFF;CUISSON;Plaque gaz;389;2.25;CTM;P;;189.6;9;0;0;172.54;189.57;4242004212096;
T26DS49S0;NEFF;CUISSON;Plaque gaz;389;2.23;;P;R;191.45;9;0;0;174.22;189.28;4242004203414;
